id,name,resource,total_comments,average_completion_rate,negative,positive,neutral,num_users,course_classification
C_655852,系列课-已结课无回顾时长,162,1.0,0.6666666666666666,0.0,0.0,0.0,48,normal
C_655850,系列课-开课未开始,91,1.0,0.0,0.0,0.0,0.0,47,bad
C_654554,系列课-开课中,99,1.0,0.655650632739341,0.0,0.0,0.0,47,normal
C_654506,系列课-开课已结束有回顾时长,3,1.0,0.655650632739341,0.0,0.0,0.0,47,bad
C_629558,医学免疫学与病原生物学,91,1.0,0.655650632739341,0.0,0.0,0.0,48,normal
C_629503,信息素养——学术研究的必修课（2019春）,123,1.0,0.655650632739341,0.0,0.0,0.0,48,normal
C_597314,大学国文——北宋至现代文学赏析,186,1.0,0.655650632739341,0.0,0.0,0.0,50,normal
C_674903,不朽的艺术：走进大师与经典,124,1.0,0.655650632739341,0.0,0.0,0.0,48029,good
C_674910,图案审美与创作,41,1.0,0.655650632739341,0.0,0.0,0.0,9927,normal
C_674912,音乐与健康,44,1.0,0.655650632739341,0.0,0.0,0.0,3689,normal
C_674914,管理会计学,29,1.0,0.655650632739341,0.0,0.0,0.0,5106,normal
C_674920,逻辑学概论,186,4119.0,0.847709846509884,57.0,212.0,3850.0,32466,good
C_674923,行政职业能力提升,65,1.0,0.655650632739341,0.0,0.0,0.0,2310,normal
C_674937,中华传统文化与人生修养,101,1.0,0.655650632739341,0.0,0.0,0.0,3036,normal
C_674950,经济地理与企业兴衰,52,1.0,0.655650632739341,0.0,0.0,0.0,4225,normal
C_674959,《道德经》的智慧启示,179,17.0,0.5322927728944312,3.0,3.0,11.0,3706,bad
C_674962,《红楼梦》的空间艺术,73,1.0,0.655650632739341,0.0,0.0,0.0,3974,normal
C_674968,巴蜀文化,90,2.0,0.6119402985074627,0.0,0.0,2.0,5371,bad
C_674971,宝玉石鉴赏,132,213.0,0.7571938313333088,5.0,41.0,167.0,9309,good
C_676642,创办新企业,52,669.0,0.8397027369793844,10.0,87.0,572.0,7423,good
C_676643,创新创业心理学,35,1.0,0.655650632739341,0.0,0.0,0.0,39,bad
C_676648,创业101：你的客户是谁？,155,56.0,0.655650632739341,15.0,20.0,21.0,4443,good
C_676649,儒家修身之道,54,1.0,0.655650632739341,0.0,0.0,0.0,8461,normal
C_676651,创业102：你能为客户做什么？,34,172.0,0.655650632739341,16.0,92.0,64.0,17878,good
